;cuerpo;fecha;seccion;titulo
0;Hay una cosa que tienen en común estas dos “ángeles”.;12/11/2018;salud;Bella Hadid copió el truco de Naomi Campbell para lograr sus infartantes abdominales
1;El temporal se sintió con fuerza en la provincia. Una capilla de la localidad de El Carmen terminó destruida. Las imágenes llegaron a TN y La Gente. ;12/11/2018;sociedad;Un tornado azotó el norte de Sante Fe
2;Sospechan que le prestó el auto al relacionista público que llevó a la víctima hasta un descampado.;12/11/2018;policiales;Detuvieron a un taxista por la violación de una chica en Junín a la salida de un boliche
3;El ex jugador de Boca, ahora columnista en un programa deportivo, protagonizó un duro entredicho con uno de sus compañeros de trabajo.;12/11/2018;deportes;"El fuerte cruce entre Raúl Cascini y un periodista por la superfinal: ""Dentro de 12 días vamos a hablar"""
4;El gran ícono de los cómics estadounidenses murió este lunes en Los Ángeles, a los 95 años. ;12/11/2018;tecno;"Los ""hijos"" de Stan Lee: de Spiderman a Hulk, los superhéroes que entraron en la historia"
5;Los directivos del organismo auditarán la política económica del Gobierno durante esta semana. En diciembre habilitarían otros u$s 7700 millones. ;12/11/2018;economía;El FMI se reunió con el Banco Central para evaluar cómo funcionaron las bandas del dólar 
6;El fundador de Marvel murió a los 95 años. Dejó un legado de personajes que traspasaron las viñetas, como Iron Man, Hulk y Capitán América, entre otros.;12/11/2018;tecno;Stan Lee, el hombre que le cambió el espíritu a los superhéroes en el cómic y en el cine
7;Tras el empate 2-2 entre Boca y River en la Bombonera, todas las miradas apuntan a la revancha del sábado 24.;12/11/2018;deportes;Néstor Pitana, el árbitro que suena para dirigir la Superfinal y el motivo que lo condiciona
8;"Investigan si el expresidente falsificó facturas de un viaje oficial a París. Para el fiscal, hubo ""comprobantes de pago apócrifos"".";12/11/2018;política;Piden que Amado Boudou vaya a juicio oral por la causa de los viáticos truchos
9;Estela es mamá de cinco nenes. Un grupo de delincuentes le sacó su casa de Tolosa. ;12/11/2018;policiales;"Le usurparon la casa y ahora vive con sus hijos en una camioneta: ""Me fui unas horas y me encontré gente adentro"""
10;Un tribunal de Birmingham, Inglaterra, señaló que ambos padres formaban parte de una organización neonazi ilegal. En diciembre se conocerá la condena.;12/11/2018;internacional;Condenaron a una pareja que nombró a su bebé en honor a Adolf Hitler
11;Además tocaron Death Cab for Cutie, Juan Ingaramo y Warpaint, entre otros. ;12/11/2018;música;Personal Fest: Lorde y MGMT brillaron ante más de 15 mil personas
12;Las canciones de la famosa banda británica se ubicaron en los primeros puestos del ranking.;12/11/2018;música;"Queen destronó al reggaetón gracias a ""Bohemian Rhapsody"""
13;"La policía detuvo al ""Pai"", acusado de asesinar a la víctima en medio de una discusión. ";12/11/2018;policiales;Mataron a un hombre a puñaladas en un templo umbanda de Florencio Varela
14;El Tribunal de Disciplina de la confederación sudamericana abrió un expediente y en breve se definirá si multan al Xeneize o si le suspenden el estadio. ;12/11/2018;deportes;La Conmebol podría sancionar a Boca por la pirotecnia que hubo en la Bombonera 
15;El delantero de Boca había salido con una molestia muscular del encuentro en la Bombonera.;12/11/2018;deportes;Cristian Pavón se desgarró y se perderá la revancha contra River
16;Descansar en exceso puede pasarle factura a tu corazón y a tu cerebro.;12/11/2018;salud;Dormir diez horas o más puede aumentar el riesgo de accidentes cardiovasculares
17;Es importante que no queden húmedos y utilizar calzados que permitan la circulación de aire.;12/11/2018;salud;El motivo por el que debés secarte bien los pies después de mojarlos
18;"Un grupo de turistas se topó en una isla de Tailandia con unos animales de características similares a los ""Ewoks"" de Star Wars.";12/11/2018;internacional;Creyeron que habían encontrado una nueva especie de criaturas marinas pero se llevaron una sorpresa
19;También afectará a otras nueve provincias. Aún hay evacuados por el temporal del fin de semana. ;12/11/2018;sociedad;Hay alerta meteorológica y se esperan fuertes lluvias y tormentas eléctricas para Buenos Aires
20;Connor y Bella decidieron quedarse con el papá. Las explicaciones de la actriz.;12/11/2018;show;Nicole Kidman se defendió de las acusaciones de mala madre: ¿por qué sus hijos viven con Tom Cruise?
21;Un joven mexicano relató las horas dentro del complejo y se volvió viral.;12/11/2018;tecno;Fue al baño en medio de una película y terminó encerrado toda la noche en el cine
22;Así lo estableció el decreto que habilitó el pago del bono de fin de año. El Ejecutivo mediará para asegurar bajo qué condiciones se realizarán esas cesantías.  ;12/11/2018;economía;Los empresarios deberán notificar al Gobierno si prevén despedir empleados
23;El efectivo de la Policía Federal fue sorprendido en el primer cacheo de la Bombonera.;12/11/2018;deportes;El colmo de un bombero: quedó demorado por intentar entrar bengalas al Superclásico
24;Fue el creador de varios de los personajes más importantes de la historieta americana, como Spider-Man, Daredevil, Hulk, Fantastic Four, Black Panther, Thor y los X-Men.;12/11/2018;tecno;Murió Stan Lee, una leyenda del cómic
25;Regirá a partir del martes 20. El Gobierno de la Ciudad oficializó el sendero de incrementos de un peso por mes hasta febrero, cuando quedará en $16,50.;12/11/2018;economía;El subte aumenta $ 1 desde la semana que viene y costará $13,50
26;Una zona erógena masculina a la que no siempre se le da el lugar que merece.;12/11/2018;salud;Qué es el punto P y por qué está rodeado de prejuicios
27;Un ejercicio de estilo jugado.;12/11/2018;autos;Proponen cómo sería una versión actual de la mítica Ferrari F40, ¿va o no va?
28;Fue en la previa del duelo entre Barracas Central y Estudiantes de Buenos Aires, por el torneo de la Primera B Metropolitana. Mirá el video. ;12/11/2018;deportes;El tremendo pelotazo que recibió un periodista en plena transmisión
29;Además de vehículos “enteros”, las exposiciones son una fiesta para los amantes de la mecánica y la técnica. Recopilamos lo mejor para vos.;12/11/2018;autos;Autos cortados, chasis abiertos y motores al desnudo: lo que no viste del Salón de San Pablo
30;Dio directivas erróneas en la terminal aérea. Una vez detectadas, suspendieron las operaciones durante 30 minutos.;12/11/2018;sociedad;Un piloto privado interfirió las comunicaciones en Aeroparque y podría haber provocado una tragedia
31;El entrenador de Boca se refirió al polémico gesto que tuvo el Muñeco luego del empate 2 a 2 en la Bombonera, por la ida de la Superfinal de la Copa Libertadores. ;12/11/2018;deportes;"La reacción de Guillermo Barros Schelotto al ""festejo"" anticipado de Marcelo Gallardo"
32;La Justicia confirmó la pena contra el dirigente piquetero pero ordenó reducir tres meses la sentencia. Se espera que apele la decisión de la Cámara. ;12/11/2018;política;Confirmaron la condena a Luis D'Elia por la toma de la comisaría y quedó al borde de ir a la cárcel
33;Los hinchas del Xeneize se acordaron de una situación que moviliza a todos los fanáticos pero que nada tiene que ver con River.;12/11/2018;deportes;El canto de los hinchas de Boca en la previa de la Superfinal que se volvió viral
34; La toxina botulínica en dosis altas puede provocar parálisis, problemas respiratorios e incluso la muerte.;12/11/2018;salud;Tres mujeres murieron en menos de un mes tras aplicarse botox en Hong Kong
35;El conductor habló por primera vez del embarazo de su hija Morena y contó cómo fueron sus días lejos de la TV.;12/11/2018;show;"Jorge Rial volvió a Intrusos después de su licencia: ""Voy a ser abuelo de un varón y estoy contento"""
36;Los clientes deberán “conocer” a las autómatas antes de la relación. Además, habrá una tarifa diferencial para las robots vírgenes.   ;12/11/2018;tecno;Así será el cabaret con robots sexuales que abriría sus puertas en 2019
37;"Zaira fue baleada por motochorros en un intento de robo. ""Mi hija no se merecía esto"", se lamentó. ";12/11/2018;policiales;"El padre de la piloto de karting asesinada en San Martín: ""No quiero Justicia, sino arrancarles los ojos"""
38;El Gobierno llegó a un acuerdo con UPCN. El plus se pagará en una sola cuota. El incremento salarial será del 5% en enero y de otro 5% en febrero.;12/11/2018;economía;Los empleados públicos cobrarán un bono de $5000 en diciembre y tendrán un aumento paritario de 10%  
39;La banda estrena el tercer corte de difusión de su último trabajo, El show más feliz del mundo.;12/11/2018;música;"La fiesta de Los Caligaris no para: disfrutá de ""Quereme así"", junto a Jorge Serrano"
40;La modelo y el tenista se cruzaron en la noche y hablaron hasta altas horas de la madrugada. ¿El romance del verano? ;12/11/2018;show;Del Potro y Jujuy Jiménez estuvieron juntos en un boliche: ¿nace el amor?
41;Rodrigo Oses tendrá que hacer un tratamiento psicológico y deberá presentarse cada 15 días en el juzgado. Está acusado de homicidio culposo. ;12/11/2018;policiales;Liberaron al hombre que olvidó a su beba en el auto y murió asfixiada 
42;Noelia Pons compartió una imagen de su hijo vestido del fantasma de la B.;12/11/2018;deportes;La mujer de Darío Benedetto publicó un posteo cargando a River con el descenso y le llovieron las críticas
43;Luego de vender el primero en sólo 24 hora, ya confirmaron que el 2 de marzo se vendrá el segundo, también en el Campo de Polo. ;12/11/2018;música;Se va la segunda: Luis Miguel sumó un show en Buenos Aires
44;Fue en Neuquén. El cartel con la amenaza se viralizó y generó repudio en las redes sociales. ;12/11/2018;sociedad;"Denuncian que la administración de un edificio quiere envenenar a los perros de los vecinos porque ""molestan"""
45;Se espera que esté lista para el año que viene.;12/11/2018;autos;La futura pick up del Jeep Wrangler cambia de nombre y así podría ser su diseño
46;La arenga del final del partido a sus compañeros y los buenos minutos que tuvo en cancha le abrieron la puerta para la revancha.;12/11/2018;deportes;Carlos Tevez, el líder que piden muchos hinchas de Boca para ganar en el Monumental
47;Una radio uruguaya transmitió el partido sin sonido ambiente, con música relajante y relatos muy apagados para evitar que los hinchas se descompensaran.;12/11/2018;deportes;"Boca-River: el insólito relato de la Superfinal en ""formato zen"" que cautivó a los pacientes cardíacos"
48;El imputado reaccionó en plena audiencia tras el pedido de perpetua del abogado de la familia de la víctima. ;12/11/2018;policiales;El grito del acusado por el crimen de Lucía Pérez: “Yo no la violé, no la empalé, no la maté”
49;Son policías de la Bonaerense y estuvieron en el momento exacto en el que un camión atropelló a una embarazada y cuando se acercaron en medio de la tragedia vieron que estaba naciendo su bebé.;12/11/2018;policiales;"Los ángeles guardianes de la beba que nació cuando su madre ya estaba muerta: ""La vimos y quisimos salvarla"""
50;" ""El consumo excesivo así como el consumo insuficiente son las mayores causas de resistencia a los antimicrobianos"", advierte la Organización Mundial de la Salud ";12/11/2018;salud;Alerta por el aumento del consumo de antibióticos y el surgimiento de superbacterias
51;El clip tuvo más de un millón de reproducciones y generó comentarios divertidos de dos famosas. ;12/11/2018;show;"Sol Pérez y el video más hot para ""matar"" el aburrimiento un domingo"
52;Estarán dos días en el país. Luego regresan a Chile. Qué modelos hay.;12/11/2018;autos;Una caravana de 27 Ferrari recorre la Patagonia argentina: mirá las fotos y el video
53;Tienen entre 8 y 16 años. Se lanzó una convocatoria en Capital hasta el 7 de diciembre. ;12/11/2018;sociedad;Tres hermanitos buscan que los adopte una familia para no separarse
54;"""La prevención es posible gracias a la vacunación, un estado nutricional satisfactorio y una mejora de los factores medioambientales"", remarca la Organización Mundial de la Salud.";12/11/2018;salud;La neumonía podría matar a 11 millones de chicos en el mundo hasta 2030
55;Las empresas privadas podrán pagarlo en más de dos cuotas. También se acordará una compensación similar para los empleados estatales.;12/11/2018;economía;Mauricio Macri firmó el decreto por el bono de fin de año
56;El fenómeno óptico, conocido como “gloria”, fue capturado desde la Estación Espacial Internacional.  ;12/11/2018;tecno;El espacio también tiene su arcoíris y un astronauta lo fotografió
