;cuerpo;fecha;seccion;titulo
0;"Los gobiernos de María Eugenia Vidal y Horacio Rodríguez Larreta todavía no definieron si se sumarán al bono de fin de año que la Casa Rosada pagará a los empleados de la administración nacional, en una jugada de Mauricio Macri que le puso presión extra a 

gobernadores

aliados y de la oposición.El gobierno de Macri hizo trascender que unos 200 mil empleados de la administración pública nacional cobrarán un plus de hasta 6 mil pesos, en línea con el de 5 mil pesos que se anunció para las empresas privadas y cuya letra chica todavía no se conoce. El bono para los estatales también será en cuotas.La noticia provocó cierta preocupación en las administraciones provinciales (donde ya había impactado el acuerdo del sector privado), especialmente en la Ciudad y la Provincia de Buenos Aires que suelen moverse en línea con las decisiones de la Rosada aunque en este caso el panorama es más complicado.""Nosotros dimos un mayor aumento salarial que Nación"", recordaron a LPO fuentes del gobierno porteño. ""Nada confirmado por ahora"" sobre el bono, agregaron. En efecto, Larreta acordó en septiembre con el Sutecba una actualización de la paritaria de 13 puntos en tres cuotas (la última a pagar en diciembre), que la llevó a un 25 por ciento en el año. El gremio que conduce Amadeo Genta había acordado antes de la crisis cambiaria una suba para 2018 del 12 por ciento, una de las más bajas del país. Además, está previsto que en diciembre se vuelvan a juntar a negociar ante la previsible pérdida de poder adquisitivo que implica ese 25% contra una inflación estimada en 20 puntos más.El caso de la provincia de Buenos Aires es similar. El gobierno de Vidal acordó el mes pasado con UPCN y Fegeppba un aumento salarial extra del 11 por ciento, que se sumó al 19 por ciento acordado en la primera parte del año. Y les ofreció reabrir la paritaria en diciembre para discutir el desfasaje con la inflación. Es por eso que ante la consulta de LPO sobre el bono la respuesta fue que dependerá de esa negociación. Fuentes del gobierno bonaerense dijeron además que tienen que analizar sus números y aunque reconocen que es una buena medida no saben si están en condiciones de pagarlo. Recién en diciembre tendrán un panorama más claro, dijeron desde el entorno de Vidal. Y agregaron que sobre todo sería bueno para descomprimir con los docentes, con los que Vidal no logró un acuerdo este año y fue entregando aumentos de forma unilateral, lo que se estima que seguirá sucediendo hasta 2019.El bono de fin de año es una complicación extra para las administraciones provinciales del PRO (especialmente para el gobierno de Vidal más complicado financieramente), en un contexto en el que deberán hacerse cargo el año que viene del grueso del ajuste que Nación trasladará a los distritos.Morales, Cornejo y UrtubeyEn el resto de las provincias el panorama es diverso. Los gobiernos de Tucumán, Santa Fe, Mendoza y San Juan incorporaron cláusulas gatillo en sus paritarias por lo que los sueldos están atados a la inflación y cerrarán el año con aumentos superiores al 40 por ciento, con lo que no pagarán bonos de fin de año.Otros gobernadores ya anunciaron el pago del bono. En Santiago del Estero el plus será de 10 mil pesos en dos cuotas; en San Luis de 9 mil en cinco cuotas; y en Misiones de 4 mil pesos. En tanto, en Río Negro la cifra y el modo de pago se definirá en diciembre.En Córdoba también se analiza el pago del bono, aunque dependerá de que la provincia logre ponerle un techo a la actualización de la cláusula gatillo. Otras provincias donde se pagaría el bono serían La Rioja, Tierra del Fuego (sería de 6 mil pesos), La Pampa (5 mil), Formosa (4 mil).Más complicado es el panorama en otras provincias como las oficialistas Corrientes y Jujuy, donde no habrá extra de fin de año. Lo mismo en Salta (""no estamos en condiciones de pagar, la verdad es que no"", declaró Urtubey), Chubut y Catamarca. ";12/11/2018;bono;Larreta y Vidal ponen en duda el pago del bono de fin de año
1;"El acelerado proceso de endeudamiento sumado a la enorme devaluación de la moneda elevaría el stock de deuda al 93% del PBI para fin de 2018. Así lo determina un informe de la consultora Ecolatina, que indica que al cierre del segundo trimestre de 2018, es decir, antes de la gran devaluación de fines de agosto y principios de septiembre, la deuda del Estado Nacional ya implicaba alrededor del 80% del PBI.""Dado que tres cuartas partes de los pasivos están nominados en moneda extranjera, y que el PBI se mide en pesos, este cociente es muy sensible a los vaivenes del dólar"", explica el informe para justificar sus previsiones.Las estimaciones coinciden con lo señalado recientemente por la calificadora Fitch, cuando decidió bajarle la perspectiva a la Argentina de ""Estable"" a ""Negativa"".Por la recesión, Fitch bajó la calificación de la deuda argentina a negativa Por otro lado, desde Ecolatina destacan como el dato más preocupante el ascenso de la deuda que incluye sólo los pasivos contraídos con el sector privado y organismos multilaterales de crédito. Entre el primer y el segundo trimestre, este componente pasó del 32% del producto al 45% y debido al salto cambiario se espera que llegue al 60% para finales de año.Ya para 2019, si se lograse renovar el 60% del stock de Letes y Lecaps -como estima el programa financiero del Ministerio de Hacienda-, el ratio de deuda sobre PBI bajaría levemente para ubicarse en torno al 85%, lo que representa de todas maneras unos 40 puntos porcentuales por encima del promedio sudamericano.Para el próximo año, la consultora estima una mayor dolarización de las carteras producto de la incertidumbre electoral, por lo que una nueva devaluación aumentaría aún más el cociente deuda/PBI.A su vez, una suba del dólar impactaría en el nivel de actividad, afectaría el cumplimiento de las metas fiscales por la consecuente menor recaudación y el aumento de los subsidios económicos, mientras que los ingresos por retenciones no se incrementarían por ser montos fijos en pesos por dólar exportado. ""Al elevarse el ratio Deuda Producto tras un salto cambiario, los inversores internacionales se preocupan por el repago de la deuda y profundizan el desarme de posiciones en moneda local generando mayores presiones cambiarias, lo que impulsa, nuevamente, el crecimiento del ratio. Por ende, la estabilidad cambiaria será vital para no repetir episodios de stress"", subrayaron desde Ecolatina.Si bien destacan que gracias a los desembolsos del FMI los riesgos de default están contenidos hasta el fin del actual mandato presidencial, advierten que el próximo Presidente deberá conseguir financiamiento externo para cubrir los servicios de deuda con privados y en el 2022 y 2023, enfrentará compromisos con el FMI por 46.000 millones de dólares.";12/11/2018;deuda;Ecolatina advierte que la deuda podría alcanzar el 93% del PBI para fin de año
2;"En un anticipo de lo que podría ser una ruptura mayor del peronismo en el Senado, el tucumano José Alperovich anunció que se va de la bancada que conduce Miguel Pichetto y que armará un interbloque con Cristina Kirchner, con quien teje una alianza de cara a las elecciones de 2019.El ex gobernador aceleró en los últimos días la ruptura con Juan Manzur, a quien anunció que enfrentará el

año próximo compitiendo por fuera del PJ, en una jugada que pone en riesgo la hegemonía del peronismo en Tucumán. Para eso busca tener el apoyo de la ex presidenta, que mantiene buenos niveles de adhesión en la provincia.En ese marco, Alperovich adelantó este lunes que dejará el bloque de Pichetto y se unirá al FPV. ""El bloque federal no me representa, vamos a armar un interbloque con Cristina Kirchner en el Senado"", declaró en AM 530. La ruptura quedará plasmada en la sesión por el Presupuesto, que el tucumano rechazará. ""En unos días vamos a dar ese paso"", agregó.Alperovich además pidió sumar a Cristina a la unidad del peronismo de cara a 2019 y aseguró que habló del tema con Sergio Massa, e incluso dijo que el tigrense le dio la razón. ""Con Sergio Massa ya hablamos personalmente y dijimos que Cristina tiene que participar en la unidad, hay que contenerla, es la que más votos tiene"", pidió.Se descuenta que junto al ex gobernador se irá del bloque del PJ su co-provinciana Beatriz Mirkin. La senadora ya avisó que votará en contra del presupuesto y es fiel aliada de Alperovich. Así las cosas, Cristina armará un interbloque con 11 senadores, mientras que la bancada de Pichetto quedará en 22. Alperovich confirmó que será candidato por fuera del PJ y deberá enfrentar a ManzurPero la ruptura del peronismo será mayor: como contó LPO, la discusión de la semana pasada entre Miguel Pichetto y José Mayans dejó en evidencia la fractura, y

el formoseño -leal a Gildo Insfrán, uno de los pocos gobernadores cercanos a Cristina- prepara un interbloque y ya tiene garantizada la compañía de su coterránea María Teresa González y los pampeanos Norma Durango y Daniel Lovera.La idea de Mayans era anunciarlo después del miércoles, cuando se vote el presupuesto 2019 y muchos de los rebeldes avalarán por acción u omisión. Por caso, en Diputados, los tres pampeanos se abstuvieron y antes se aseguraron un refuerzo a la caja de jubilaciones de la Provincia.Los otros que podría arrastrar el formoseño son la catamarqueña Inés Blas, cercana a la gobernadora Lucia Corpacci; el chubutense Mario País, que viene endureciendo su discurso contra el Gobierno y sabe que no volverán promoverlo para el Consejo de la Magistratura. Y conversa de un lado y otro el jujeño Guillermo Snopek, en busca de enfrentar a Gerardo Morales. ""La idea es tener al menos 10 o 12 de los 24 del interbloque federal como para pelear lugares de poder"", confió a LPO uno de los rebeldes. Con la mira en el escenario electoral, los senadores desojan la margarita. Los fueguinos José Ojeda y Julio Catalán Magni fueron leales al rionegrino hasta que les pidió habilitar los allanamientos a Cristina y dejaron sus bancas vacías. Su gobernadora, Rosana Bertone, dijo en una entrevista con LPO que al igual que muchos de sus colegas no quiere dos frentes peronistas que dividan a la oposición. Sólo así puede consolidar su alianza con La Cámpora de su provincia y cualquier movimiento en el Congreso será, en definitiva, un mensaje al largo año electoral que se avecina.La pelea entre Pichetto y Mayans dejó al peronismo al borde de la ruptura Leales a Pichetto se sostienen el cordobés Carlos Caserio, el salteño Rodolfo Urtubey, el catamarqueño Dalmacio Mera, el correntino Carlos Espínola, el chaqueño Eduardo Aguilar; y suelen acompañarlo los entrerrianos Pedro Guastavino y Sigrid Kunath. Omar Perotti, Alfredo Luenzo y Guillermo Snopek eran de ir a sus mini cumbres, pero ya no le rinden pleitesía. Y los sanjauninos José Uñac y Cristina Valverde, como su jefe, no hablan de Cristina pero no avalaron sus allanamientos y levantan el discurso de la unidad peronista.El problema inmediato para Pichetto es que en estos días deben definirse los asientos del Consejo de la Magistratura y el peronismo está en serio riesgo de perder los dos por la mayoría. Su interbloque tiene menos senadores que el de Cambiemos pero pretende superarlo con firmas de aliados como los santiagueños y los misioneros. Con la fuga de los tucumanos y otros posibles rebeldes, el rionegrino podría depender de una negociación con Cristina que por supuesto le exigiría un lugar.";12/11/2018;comentarios;Alperovich rompe el bloque de Pichetto y se une a Cristina 
3;" 

La crisis que atraviesa el kirchnerismo en Quilmes no se detuvo con la ruptura entre sus concejales y la posterior renuncia de Ángel García a la presidencia del bloque de Unidad Ciudadana para armar su propio espacio, sino que ahora saltó un escándalo por una denuncia por violencia de género contra el nuevo jefe de bloque de la bancada de la diputada nacional Mayra Mendoza. Se trata de José Migliaccio, denunciado por su ex pareja, que no puede estar en contacto con la víctima y todos los meses debe comparecer ante la Justicia. Fue presidente del Concejo durante los ocho años de gobierno de Francisco ""Barba"" Gutiérrez y quedó al frente de la bancada de Unidad Ciudadana tras la crisis que marcó el alejamiento de Ángel García.Migliaccio ahora preside el bloque de concejales que nuclea ediles de La Cámpora y al sector del justicialismo quilmeño encabezado por Aníbal Fernández.El oficialismo local denuncia que Migliaccio quedó a cargo del bloque aun con el conocimiento -por parte de sus pares- de una grave condena que el concejal posee en su contra por violencia de género de parte de su última pareja, radicada en el Juzgado Nº 2 de Garantías del departamento judicial Quilmes, a cargo de Martín Miguel Nolfi. Según el texto al que accedió LPO, Migliaccio tiene la ""obligación especial de comparecer el primer viernes de cada mes ante la sede del patronato de liberados de la Provincia de Buenos Aires, impóniendole además, como medida cautelar la prohibición de tomar contacto personal con la víctima y la restricción de acercamiento al domicilio de ésta en un rango de 300 metros"". La Cámpora partió al kirchnerismo en Quilmes y Mayra Mendoza pierde fuerza como candidata únicaDesde la oposición local apuntan directamente contra Mendoza por estar al tanto de esta denuncia, mientras que destacan la ""curiosidad"" de que dentro de ese bloque se encuentra Eva Mieri, que es la responsable del área de género de La Cámpora en la Provincia de Buenos Aires, y el concejal Matías Festucca, ahijado político de Aníbal Fernández.Desde el colectivo de mujeres de Quilmes repudiaron este nombramiento: ""Expresamos nuestra preocupación e indignación, consideramos que en el último tiempo hemos logrado muchas conquistas, cómo por ejemplo la aprobación de la Emergencia en Violencia contra las Mujeres en el distrito, que es un reclamo que nos llevó más de cuatro años de lucha. Que una persona condenada por ejercer violencia contra una mujer sea designada para ejercer un cargo de tanta importancia, sólo puede significar una cosa: RETROCEDER en tiempos en que no sólo las mujeres, sino la sociedad, tienen que ir hacia adelante"".Como contó LPO, García decidió romper el bloque por presión de La Cámpora y anunció la conformación de su propio espacio -Unidad Ciudadana/Juntos por Quilmes-, al que se llevó a su esposa, la también concejal Susana Cano.Y del otro lado quedó la bancada de Unidad Ciudadana que ahora preside Migliaccio, y que integran los camporistas Diego Méndez y Eva Mieri, aliados a los ""anibalistas"" Báez y Matías Festucca, y junto a María Eva Stolzing. Mientras que David Gutiérrez, sobrino del ex intendente ""Barba"" Gutiérrez, tiene su propio monobloque.";12/11/2018;quilmes ;Polémica en Quilmes por una denuncia por violencia de género contra el presidente del bloque kirchnerista
4;"Finalmente, el Gobierno confirmó las medidas negociadas con la CGT y firmó el decreto que establece un bono de $5.000 pesos para compensar la pérdida de los salarios de los últimos meses, junto a una serie de trabas para frenar los despidos.El bono deberá abonarse en dos cuotas de $2.500 que se pagarán con los salarios de noviembre y enero, es decir, durante los primeros días de diciembre y febrero.No obstante, el DNU habilita la posibilidad de flexibilizar los plazos y montos mencionados, de acuerdo a la situación en que se encuentre cada firma, lo que pone en duda el alcance de la medida. A su vez, permite descontar esta asignación de las revisiones salariales acordadas en los convenios colectivos de trabajo, ""salvo que acuerden expresamente su no absorción"".Los empresarios enojados con Gobierno por los decretos que negoció con la CGTSe trata de dos guiños claramente dirigidos al sector empresario, que había criticado duramente las medidas, tildándolas de ""decretos kirchneristas"". Las firmas argumentaban no poder hacer frente a este nuevo incremento de sus gastos debido a la delicada situación que atraviesan con una gran caída de sus ventas y un nivel de tasas de interés que impide la refinanciación de sus pasivos.Paralelamente, la iniciativa había sido duramente castigada por Pablo Moyano, quien aseguró que ""la CGT le volvió a fallar a los trabajadores y le sigue dando al Gobierno la chance de tapar lo que viven millones de argentinos"". ""La CGT vuelve a fallar""El decreto excluye específicamente a los empleados del sector público, que de todas formas recibirán el mismo beneficio a partir de un acuerdo alcanzado entre el Ministro de Producción y Trabajo Dante Sica y el Secretario General de la Unión del Personal Civil de la Nación (UPCN), Andrés Rodríguez.En este caso, el monto de $5.000 pesos se pagará en una sola cuota junto al salario de diciembre para todo el personal civil de la Administración Pública Nacional. Además, se negoció un aumento salarial del 5% para enero y otro 5% a aplicarse en febrero.DespidosEl DNU también establece la obligación de cumplir un procedimiento ante la disposición de efectuar despidos sin justa causa. Los empleadores deberán comunicar la decisión al Ministerio de Producción y Trabajo con una anticipación no menor a diez días hábiles. Posteriormente, las autoridades podrán convocar a las dos partes implicadas junto con la asistencia gremial pertinente, a fin de celebrar las audiencias que estime necesarias para considerar las condiciones en que se llevará a cabo la futura extinción. ";12/11/2018;salarios;Macri firmó el decreto que fija un bono de $5.000 y le pone trabas a los despidos
5;Con un dólar rozando el límite inferior de la banda cambiaria, el Banco Central aprovechó para bajar la tasa de interés una vez más y volver a ubicarla a niveles de fin de septiembre.En una nueva subasta de Leliq, la máxima autoridad monetaria adjudicó $111.981 millones a una tasa promedio de corte de 65,77%, con picos que tocaron el 66%.Este descenso representa una caída de 88 puntos básicos respecto a la jornada anterior y más de 800 puntos en relación al pico del 74% registrado durante la segunda semana de octubre. Luego de algunas bajas con cierta intermitencia, a partir de la última semana de octubre la tasa mantuvo un claro sendero de retroceso que se estima se mantendrá en las próximas ruedas a raíz de la facilidad con la que el Central viene renovando cada vencimiento. En esta oportunidad, frente a obligaciones por $96.071 millones, colocó $111.981 millones, generando un efecto de absorción de $14.497 millones.Por su parte, el mercado de cambios también está ayudando a sostener la baja de tasas, con un dólar a punto de perforar la zona de no intervención. En una jornada con muy bajo volumen de operaciones por el feriado en los Estados Unidos, la divisa se recuperó parcialmente de la fuerte caída de fines de la semana pasada y cerró a $35,58 en el segmento mayorista, es decir, a sólo 18 centavos del piso de la banda. En cuanto a la pizarra minorista, el promedio de entidades que realiza el Central terminó operando a $36,42, apenas cuatro centavos por encima del viernes pasado.Es por eso que muchos sectores le piden a Sandleris un ritmo de descenso de tasa más acelerado, ya que los actuales impiden la refinanciación de los pasivos de las empresas que se encuentran muy golpeadas por la crisis y hacen inviable cualquier tipo de proyecto productivo.   ;12/11/2018;dólar;La tasa sigue bajando y vuelve a los niveles de fin de septiembre
6;"La Corte Suprema de Justicia está convulsionada por la decisión de Carlos Rosenkrantz de contratar al subprocurador del Tesoro -un funcionario clave del Poder Ejecutivo- para manejar la comunicación del máximo tribunal, en una maniobra que le atribuyen a Fabián ""Pepín"" Rodríguez Simón.A través de la resolución 3384, el presidente de la Corte autorizó la contratación del abogado Juan Pablo Lahitou para cumplir funciones en la recientemente creada Secretaría de Desarrollo Institucional, encargada del manejo de la comunicación del tribunal. Lahitou tendrá un cargo equivalente al de secretario letrado, el más alto en la Corte.La incorporación del abogado cayó muy mal en el máximo tribunal y hay fuertes críticas a Rosenkrantz por haber contratado a un alto cargo del Ejecutivo, en una decisión que alimenta las especulaciones sobre la cercanía del juez con la Casa Rosada. La polémica es porque Lahitou era hasta hoy subprocurador del Tesoro de la Nación, un cargo fundamental en el Gobierno. La Procuración del Tesoro, que conduce Bernardo Saravia Frías, es el organismo que actúa como defensor de los intereses del Estado. Es decir que Lahitou pasará de un día para el otro de defender al Ejecutivo a integrar la Corte.El cruce de intereses se ve en que por ejemplo Lahitou participó como representante del Estado en audiencias judiciales por el conflicto con Socma por la deuda del Correo Argentino. Fuentes del tribunal dijeron a LPO que detrás del desembarco de Lahitou estaría la mano de Rodríguez Simón, uno de los operadores judiciales de la Casa Rosada. ""Pepín"", íntimo de Macri, le habría pedido al presidente de la Corte que incorpore al subprocurador. A Pepín se le atribuye el haberle recomendado al presidente que nombre a Rosenkrantz en la Corte.La incorporación se da apenas unos días después del almuerzo entre Macri y Rosenkrantz. A esa cita también habían sido invitados el resto de los integrantes de la Corte, pero los jueces Rosatti, Maqueda y Lorenzetti no fueron porque consideraron inapropiado el encuentro. En un principio, trascendió que uno de los comensales sería, justamente, ""Pepín"" Rodríguez Simón.Lahitou es uno de los fundadores del blog ""Todo sobre la Corte"", también realizado por Valentín Thury Cornejo que está a cargo de la Secretaría de Desarrollo Institucional.";12/11/2018;comentarios;Tensión en la Corte porque Pepín ocupó un cargo clave en el equipo de Rosenkrantz
7;" María Eugenia Vidal no dio lugar al reclamo de los intendentes de Cambiemos y decidió no avanzar con el pedido de desdoblar la elección en la provincia de Buenos Aires para no perjudicar a Mauricio Macri.Como contó LPO, el sector del oficialismo que integran Rogelio Frigerio y Emilio Monzó, empezó a plantear -con el apoyo tácito de la mayoría de los intendentes macristas- que Vidal debería desdoblar los comicios, en una jugada que apuntaría a quitarle poder de fuego al peronismo sin el arrastre de la boleta nacional de Cristina Kirchner.Los intendentes temen que con elecciones simultáneas Cambiemos ponga en juego a sus propios distritos. Además, en un plano más general, le advierten el riesgo la chance de perder la Provincia, ya que debido a la hegemonía de Cristina cualquier candidato al que le dé su visto bueno podría volverse competitivo contra Vidal. Un sector de Cambiemos cree que Vidal tiene que desdoblar la elecciónSi bien el riesgo es muy grande para el oficialismo bonaerense, los más preocupados son los intendentes del Conurbano que quieren evitar tener a la ex Presidenta en la boleta de enfrente. Por eso, los intendentes comenzaron a meter presión sin ignorar que -puertas adentro- Marcos Peña dejó muy en claro que no quieren que Vidal u Horacio Rodríguez Larreta desdoblen en sus distritos, porque eso terminaría perjudicando a Macri en las presidenciales. El caso de Larreta es diferente al de Vidal porque los números de Macri son mucho mejores en la Ciudad que en Provincia, no tiene rivales de peso y además -en el peor de los casos para Cambiemos- la CABA tiene segunda vuelta.El grupo que quiere desdoblar buscó instalar el argumento de que un triunfo categórico de Vidal le permitiría a Macri llegar envalentonado a la elección. Sin embargo, cerca de la gobernadora admitieron a LPO que no buscarán presionar con un tema tan polémico justo en un momento delicado de la relación con la Rosada, en medio de la puja por los reclamos económicos de la Provincia. En ese sentido, en el entorno de Vidal también ven nulas las posibilidades de avanzar con el proyecto de Sergio Massa, que desde el Frente Renovador para habilitar a los intendentes a desdoblar las elecciones en sus distritos.Massa sumó un bloque peronista al reclamo para separar las elecciones de los intendentesExisten dos textos sobre el desdoblamiento de las elecciones municipales en la Legislatura y Massa exige que se fusionen y se aprueben antes de la votación del presupuesto. Sin embargo, desde Cambiemos fueron tajantes en desmentir que este tema exista en las negociaciones: ""Tenemos que acercar posiciones tanto con Massa como con el PJ para el Presupuesto y ellos no quieren saber nada con desdoblar en municipios, así que no es viable que el Frente Renovador lo use como vía de negociación"".En ese sentido, cerca de la gobernadora aseguran que el proyecto no formó parte del temario puesto en discusión en la última reunión entre Massa y Vidal.El proyecto de Massa -que faculta a los intendentes para anticipar y separar los comicios locales, además de dejarlos elegir el sistema de votación y el sistema de internas- genera rechazo en el oficialismo bonaerense, porque temen que si Macri y Vidal siguen bajando en las encuestas los alcaldes opten por separar las elecciones para retener sus distritos.";12/11/2018;provincia;Vidal se niega a desdoblar la elección de Provincia pese a la presión de los intendentes
8;"Por tercera jornada consecutiva, los mercados volvieron a castigar a las empresas argentinas. De los diecinueve papeles que cotizan en la Bolsa de Nueva York, solo tres evitaron cerrar en rojo. Las más golpeadas anotaron pérdidas superiores al 5% intradiario: Telecom llegó a retroceder 5,8% en el correr de la tarde y Edenor, 5%; para luego acotar las caídas al 5% y 4,5% respectivamente. Otras empresas que anotaron fuertes caídas fueron Loma Negra, cuya cotización retrocedió 4,6%, Pampa Energía (-3,9%) y Corporación América (-2,5%). En tanto que los bancos tuvieron bajas más acotadas: Grupo Galicia cayó 1,9%, el Banco Francés perdió 1,8%, seguido por el Supervielle (-1,7%) y el Macro (-1,4%). Por su parte, los tres valores que cotizaron en alza fueron los de Despegar (2,3%), YPF (1,5%) e IRSA (0,2%), que en la rueda del viernes había estado en el podio de las más castigadas. Este golpe se vio reflejado también en el mercado local donde el Merval caía 1,7% a menos de una hora del cierre empujado por las pérdidas de Loma Negra (-5,2%), Metrogas (-5%), Cablevisión Holding (-4,6%), Mirgor (-4%), Pampa Energía (-3,8%) y Ternium (-3,6%). En el extremo verde del panel YPF lideraba las alzas con una mejora del 2,5%, seguida del Banco Francés (1,6%) y Agrometal (1,5%). Transportadora Gas del Sur (1,3%) y Edenor (1,2%) completaban el podio de las cinco mejores acciones de la jornada. A nivel mundial tampoco fue un buen día para los mercados en general. El Estados Unidos el Dow Jones y el Nasdaq cayeron 1,5% y 2,5%, respectivamente. Mientras que el IPC mexicano perdió 2,21% y el IBEX 35 español bajó 0,64%. En tanto el Bovespa repuntó 0,18%. ";12/11/2018;mercados;Acciones de empresas argentinas pierden hasta 5% en Wall Street 
9;"La crisis económica argentina se está llevando puestas a las principales firmas del país, en un hecho pocas veces visto. La altísima tasa de interés y la mega devaluación de los últimos meses, golpeó de lleno a la multinacional argentina Arcor, que se encuentra muy cerca de iniciar un proceso de reestructuración de sus pasivos.De acuerdo a sus estados financieros al 30 de septiembre de este año, la firma registraba una pérdida de $6.247 millones, cuando doce meses atrás mantenía una ganancia superior a los $1.000 millones.Como muchas otras empresas del sector, Arcor se vio perjudicada por la caída de las ventas de los artículos de consumo masivo, que intensifica el traslado a segundas y terceras marcas. Estas no logran compensar el costo que implica mantener una primera marca, que entre otras cosas, requiere gastos por presencia de marca en góndola, repositores, inversión publicitaria, costos de distribución y una intensidad promocional para poder competir que reduce los márgenes de ganancia.Pero sin duda el impacto más relevante vino por una espiralización inédita de sus gastos financieros que pasaron de $2.000 millones en 2017 a más de $13.000 millones este año, producto del efecto devaluación sobre su deuda en dólares.""Tienen un volumen muy alto de Obligaciones Negociables (ON) en dólares. Normalmente las empresas las van renovando, pero como se cerró el mercado de capitales en dólares y el financiamiento en pesos tiene tasas inviables, no tienen otra salida que ir hacia una reestructuración. Es un default elegante, pero no tienen otra alternativa. Claramente vendiendo galletitas no podés cubrir un agujero de $6.200 millones"", aseguró a LPO el analista de mercados Francisco Uriburu. Advierten que ante la crisis se viene una ola de empresas que piden su concursoEl caso pegó fuerte en el mercado porque se trata de una compañía históricamente bien manejada, de gran prestigio y conocida por no haberse involucrado con ningún gobierno en algún hecho de corrupción.A diferencia de otras grandes firmas locales, es una de las pocas que tuvo éxito en su estrategia de globalización, con plantas industriales modelo en México, Chile, Perú y Brasil. ""Un país trasciende a través de las empresas que pueden traspasar sus fronteras. Siempre observo a Brasil, a Chile, a México, a ver cuántas empresas tienen fuera de sus países, y uno mira a la Argentina y lamentablemente tenía más empresas cincuenta años atrás. Hubo un fracaso del empresariado y muchos optaron por hacer caja con sus empresas"", había declarado el titular de la firma Luis Pagani hace algunos meses.A pesar de ello, el 72,9% de sus ventas son en Argentina, con el 41% producto de golosinas y chocolates y un 27,7% en galletas, lo que la hace muy dependiente de los vaivenes económicos locales.Pagani apoyó al Gobierno de Macri desde un principio y no solamente con palabras. En 2016, tomó 300 millones de dólares de deuda para realizar importantes inversiones, hecho que a la luz de los acontecimientos le terminó jugando en contra. Ya a mediados de este año, luego de desatada la crisis cambiaria, el empresario lanzó duras críticas a la presidencia de Macri al afirmar que ""no tienen plan económico"" y que ""tuvieron un diagnóstico equivocado desde el inicio de su gestión"".En el mercado estiman que Arcor optará por una reestructuración de su pasivo a través de un mecanismo denominado APE (Acuerdo Preventivo Extrajudicial), que fue el utilizado recientemente por Enrique Pescarmona para salvar a Impsa de la quiebra. En rigor, la propia Arcor ya realizó una operatoria similar luego de la crisis del 2001, donde refinanció todos sus préstamos bancarios por 184 millones dólares y 34 millones de pesos, los cuales terminó de pagar en el año 2008.""Esto es sólo un botón de muestra de lo que está pasando en el país. Se están cayendo todas las empresas y pronto vendrán más convocatorias"", advirtió Uriburu a este medio.";12/11/2018;recesión;El mal momento de Arcor, símbolo del impacto de la crisis en la economía real
